scientificName	scientificNameID	count	scientificNameMatch	url	status	scientificNameaccepted	rank	kingdom	class	family	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
Euplotes rariseta	urn:lsid:marinespecies.org:taxname:341652	4	Euplotes rariseta	https://marinespecies.org/aphia.php?p=taxdetails&id=341652	accepted	Euplotes rariseta	Species	Chromista	Spirotrichea	Euplotidae	1	0	0	0	
Euplotes sinicus		5													
Euplotes sp.		10													
Euplotidae	urn:lsid:marinespecies.org:taxname:179274	20	Euplotidae	https://marinespecies.org/aphia.php?p=taxdetails&id=179274	accepted	Euplotidae	Family	Chromista	Spirotrichea	Euplotidae	1	0	1	1	
Euplotidium	urn:lsid:marinespecies.org:taxname:390646	6	Euplotidium	https://marinespecies.org/aphia.php?p=taxdetails&id=390646	accepted	Euplotidium	Genus	Chromista	Spirotrichea	Gastrocirrhidae	1	0	0	0	
Eupolymnia nesidensis	urn:lsid:marinespecies.org:taxname:131490	20	Eupolymnia nesidensis	https://marinespecies.org/aphia.php?p=taxdetails&id=131490	accepted	Eupolymnia nesidensis	Species	Animalia	Polychaeta	Terebellidae	1	0	0	0	0
Eurotatoria	urn:lsid:marinespecies.org:taxname:368537	70	Eurotatoria	https://marinespecies.org/aphia.php?p=taxdetails&id=368537	accepted	Eurotatoria	Class	Animalia	Eurotatoria		1	1	1	1	
Eurotiales	urn:lsid:marinespecies.org:taxname:100010	1	Eurotiales	https://marinespecies.org/aphia.php?p=taxdetails&id=100010	accepted	Eurotiales	Order	Fungi	Eurotiomycetes		1	1	1	1	
Eurotiomycetes	urn:lsid:marinespecies.org:taxname:437258	1135	Eurotiomycetes	https://marinespecies.org/aphia.php?p=taxdetails&id=437258	accepted	Eurotiomycetes	Class	Fungi	Eurotiomycetes		1	1	1	1	
Euryte sp.		3													
Eusyllis kupfferi	urn:lsid:marinespecies.org:taxname:195955	4	Eusyllis kupfferi	https://marinespecies.org/aphia.php?p=taxdetails&id=195955	accepted	Eusyllis kupfferi	Species	Animalia	Polychaeta	Syllidae	1	0	0	0	0
Eusyllis lamelligera	urn:lsid:marinespecies.org:taxname:131292	1	Eusyllis lamelligera	https://marinespecies.org/aphia.php?p=taxdetails&id=131292	accepted	Eusyllis lamelligera	Species	Animalia	Polychaeta	Syllidae	1	0	0	0	0
Euterpina acutifrons	urn:lsid:marinespecies.org:taxname:116162	32	Euterpina acutifrons	https://marinespecies.org/aphia.php?p=taxdetails&id=116162	accepted	Euterpina acutifrons	Species	Animalia	Copepoda	Tachidiidae	1	1	0	0	
Eutima curva	urn:lsid:marinespecies.org:taxname:221227	18	Eutima curva	https://marinespecies.org/aphia.php?p=taxdetails&id=221227	accepted	Eutima curva	Species	Animalia	Hydrozoa	Eirenidae	1			0	
Eutintinnidae	urn:lsid:marinespecies.org:taxname:1650972	67	Eutintinnidae	https://marinespecies.org/aphia.php?p=taxdetails&id=1650972	accepted	Eutintinnidae	Family	Chromista	Oligotrichea	Eutintinnidae	1				
Eutintinnidae X sp.		53													
Eutintinnus	urn:lsid:marinespecies.org:taxname:183543	221	Eutintinnus	https://marinespecies.org/aphia.php?p=taxdetails&id=183543	accepted	Eutintinnus	Genus	Chromista	Oligotrichea	Eutintinnidae	1	0	0	0	
Eutintinnus apertus	urn:lsid:marinespecies.org:taxname:235770	10	Eutintinnus apertus	https://marinespecies.org/aphia.php?p=taxdetails&id=235770	accepted	Eutintinnus apertus	Species	Chromista	Oligotrichea	Eutintinnidae	1	0	0	0	
Eutintinnus sp.		74													
Eutreptiella eupharyngea	urn:lsid:marinespecies.org:taxname:573871	42	Eutreptiella eupharyngea	https://marinespecies.org/aphia.php?p=taxdetails&id=573871	accepted	Eutreptiella eupharyngea	Species	Protozoa	Euglenophyceae	Eutreptiaceae	1				
Eutreptiella gymnastica	urn:lsid:marinespecies.org:taxname:110652	12	Eutreptiella gymnastica	https://marinespecies.org/aphia.php?p=taxdetails&id=110652	accepted	Eutreptiella gymnastica	Species	Protozoa	Euglenophyceae	Eutreptiaceae	1				
Exaiptasia diaphana	urn:lsid:marinespecies.org:taxname:1264073	31	Exaiptasia diaphana	https://marinespecies.org/aphia.php?p=taxdetails&id=1264073	accepted	Exaiptasia diaphana	Species	Animalia	Hexacorallia	Aiptasiidae	1		0	0	
Exanthemachrysis sp.		1													
Exobasidiomycetes		46													
Exogone	urn:lsid:marinespecies.org:taxname:129654	38	Exogone	https://marinespecies.org/aphia.php?p=taxdetails&id=129654	accepted	Exogone	Genus	Animalia	Polychaeta	Syllidae	1	0	0	0	0
Exophiala xenobiotica	urn:lsid:marinespecies.org:taxname:1415559	75	Exophiala xenobiotica	https://marinespecies.org/aphia.php?p=taxdetails&id=1415559	accepted	Exophiala xenobiotica	Species	Fungi	Eurotiomycetes	Herpotrichiellaceae	1				
Fabricinuda trilobata	urn:lsid:marinespecies.org:taxname:559006	7	Fabricinuda trilobata	https://marinespecies.org/aphia.php?p=taxdetails&id=559006	accepted	Fabricinuda trilobata	Species	Animalia	Polychaeta	Fabriciidae	1				0
Facetotecta sp.		46													
