scientificName	scientificNameID	count	scientificNameMatch	url	status	scientificNameaccepted	rank	kingdom	class	family	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
03196G20 X sp.		1													
AND16-lineage X sp.		1													
ATCC50593-lineage X sp.		4													
Abeoformidae		75													
Abeoformidae Group MAIP 1 X sp.		152													
Abeoformidae Group MAIP 2 X sp.		51													
Abra alba	urn:lsid:marinespecies.org:taxname:141433	63	Abra alba	https://marinespecies.org/aphia.php?p=taxdetails&id=141433	accepted	Abra alba	Species	Animalia	Bivalvia	Semelidae	1	0	0	0	0
Absidia	urn:lsid:marinespecies.org:taxname:100255	1	Absidia	https://marinespecies.org/aphia.php?p=taxdetails&id=100255	accepted	Absidia	Genus	Fungi	Mucoromycotina incertae sedis	Cunninghamellaceae	1				
Absidia glauca		2													
Acanthamoeba	urn:lsid:marinespecies.org:taxname:120531	149	Acanthamoeba	https://marinespecies.org/aphia.php?p=taxdetails&id=120531	accepted	Acanthamoeba	Genus	Protozoa	Discosea	Acanthamoebidae	1	1	1	1	
Acanthamoeba culbertsoni		13													
Acanthamoeba hatchetti	urn:lsid:marinespecies.org:taxname:1503937	6	Acanthamoeba hatchetti	https://marinespecies.org/aphia.php?p=taxdetails&id=1503937	accepted	Acanthamoeba hatchetti	Species	Protozoa	Discosea	Acanthamoebidae				1	
Acanthamoeba jacobsi		2													
Acanthamoeba lenticulata		8													
Acanthamoeba polyphaga	urn:lsid:marinespecies.org:taxname:163677	3	Acanthamoeba polyphaga	https://marinespecies.org/aphia.php?p=taxdetails&id=163677	accepted	Acanthamoeba polyphaga	Species	Protozoa	Discosea	Acanthamoebidae	1	1	1		
Acanthamoebidae	urn:lsid:marinespecies.org:taxname:1330	11	Acanthamoebidae	https://marinespecies.org/aphia.php?p=taxdetails&id=1330	accepted	Acanthamoebidae	Family	Protozoa	Discosea	Acanthamoebidae	1	1	1	1	
Acantharea	urn:lsid:marinespecies.org:taxname:235747	45	Acantharea	https://marinespecies.org/aphia.php?p=taxdetails&id=235747	unaccepted	Acantharia	Class	Protozoa	Acantharea						
Acantharea 1 XX sp.		15													
Acantharea 2b X sp.		2													
Acantharea 3a X sp.		5													
Acantharea 3b X sp.		45													
Acantharea 4		17													
Acantharea 4d X sp.		16													
Acantharea E		19													
Acantharea F		30													
Acanthaster planci	urn:lsid:marinespecies.org:taxname:213289	6	Acanthaster planci	https://marinespecies.org/aphia.php?p=taxdetails&id=213289	accepted	Acanthaster planci	Species	Animalia	Asteroidea	Acanthasteridae	1	0	0	0	0
Acanthochiasma sp.		2													
Acanthocolla cruciata		33													
Acanthocybium solandri	urn:lsid:marinespecies.org:taxname:127014	5	Acanthocybium solandri	https://marinespecies.org/aphia.php?p=taxdetails&id=127014	accepted	Acanthocybium solandri	Species	Animalia	Teleostei	Scombridae	1	0	0	0	
Acanthoecida	urn:lsid:marinespecies.org:taxname:580117	404	Acanthoecida	https://marinespecies.org/aphia.php?p=taxdetails&id=580117	accepted	Acanthoecida	Order	Protozoa	Choanoflagellatea		1				
Acanthoecidae Group G		8													
Acanthoecidae Group G X sp.		35													
Acantholus ambigus		2													
Acanthometra pellucida	urn:lsid:marinespecies.org:taxname:235750	59	Acanthometra pellucida	https://marinespecies.org/aphia.php?p=taxdetails&id=235750	accepted	Acanthometra pellucida	Species	Chromista	Acantharia	Acanthometridae	1	0	0	0	
Acanthometra sp.		27													
Acanthurus nigricauda	urn:lsid:marinespecies.org:taxname:219626	1	Acanthurus nigricauda	https://marinespecies.org/aphia.php?p=taxdetails&id=219626	accepted	Acanthurus nigricauda	Species	Animalia	Teleostei	Acanthuridae	1	1	0	0	
Acanthurus triostegus	urn:lsid:marinespecies.org:taxname:219630	3	Acanthurus triostegus	https://marinespecies.org/aphia.php?p=taxdetails&id=219630	accepted	Acanthurus triostegus	Species	Animalia	Teleostei	Acanthuridae	1	0	0	0	
Acanthurus xanthopterus	urn:lsid:marinespecies.org:taxname:219634	7	Acanthurus xanthopterus	https://marinespecies.org/aphia.php?p=taxdetails&id=219634	accepted	Acanthurus xanthopterus	Species	Animalia	Teleostei	Acanthuridae	1	0	0	0	
Acartia amboinensis	urn:lsid:marinespecies.org:taxname:220933	121	Acartia amboinensis	https://marinespecies.org/aphia.php?p=taxdetails&id=220933	unaccepted	Acartia (Odontacartia) amboinensis	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia danae	urn:lsid:marinespecies.org:taxname:104252	2	Acartia danae	https://marinespecies.org/aphia.php?p=taxdetails&id=104252	alternative representation	Acartia (Acartia) danae	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia nadiensis		19													
Acartia negligens	urn:lsid:marinespecies.org:taxname:104259	48	Acartia negligens	https://marinespecies.org/aphia.php?p=taxdetails&id=104259	alternative representation	Acartia (Acartia) negligens	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia pacifica	urn:lsid:marinespecies.org:taxname:348516	36	Acartia pacifica	https://marinespecies.org/aphia.php?p=taxdetails&id=348516	alternative representation	Acartia (Odontacartia) pacifica	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acaulopage dichotoma		2													
Achelia	urn:lsid:marinespecies.org:taxname:134568	3	Achelia	https://marinespecies.org/aphia.php?p=taxdetails&id=134568	accepted	Achelia	Genus	Animalia	Pycnogonida	Ammotheidae	1	0	0	0	0
Acineria incurvata	urn:lsid:marinespecies.org:taxname:426633	26	Acineria incurvata	https://marinespecies.org/aphia.php?p=taxdetails&id=426633	accepted	Acineria incurvata	Species	Chromista	Litostomatea	Litonotidae	1	0	0	0	
Acineta	urn:lsid:marinespecies.org:taxname:172365	11	Acineta	https://marinespecies.org/aphia.php?p=taxdetails&id=172365	accepted	Acineta	Genus	Chromista	Phyllopharyngea	Acinetidae	1	0	0	0	
Acineta 1 sp.		34													
Acineta tuberosa	urn:lsid:marinespecies.org:taxname:172366	16	Acineta tuberosa	https://marinespecies.org/aphia.php?p=taxdetails&id=172366	accepted	Acineta tuberosa	Species	Chromista	Phyllopharyngea	Acinetidae	1	0	0	0	
Acinetidae 1		6													
Acinetidae 1 X sp.		3													
Acoela	urn:lsid:marinespecies.org:taxname:2847	15	Acoela	https://marinespecies.org/aphia.php?p=taxdetails&id=2847	accepted	Acoela	Order	Animalia			1	1	1		
Acoelomorpha	urn:lsid:marinespecies.org:taxname:380603	2	Acoelomorpha	https://marinespecies.org/aphia.php?p=taxdetails&id=380603	unaccepted	Xenacoela	Subphylum	Animalia			1	1	1		
Acrasis helenhemmesae		1													
Acremonium blochii		5													
Acremonium breve		30													
Acremonium curvulum		18													
Acridotheres cristatellus	urn:lsid:marinespecies.org:taxname:1453468	2	Acridotheres cristatellus	https://marinespecies.org/aphia.php?p=taxdetails&id=1453468	accepted	Acridotheres cristatellus	Species	Animalia	Aves	Sturnidae	0	0	0	1	
Acridotheres tristis		2													
Acrocalanus	urn:lsid:marinespecies.org:taxname:104192	34	Acrocalanus	https://marinespecies.org/aphia.php?p=taxdetails&id=104192	accepted	Acrocalanus	Genus	Animalia	Copepoda	Paracalanidae	1	0	0	0	
Acrocalanus gracilis	urn:lsid:marinespecies.org:taxname:220838	291	Acrocalanus gracilis	https://marinespecies.org/aphia.php?p=taxdetails&id=220838	accepted	Acrocalanus gracilis	Species	Animalia	Copepoda	Paracalanidae	1	0	0	0	
Acrochaete	urn:lsid:marinespecies.org:taxname:144297	23	Acrochaete	https://marinespecies.org/aphia.php?p=taxdetails&id=144297	unaccepted	Ulvella	Genus	Plantae	Ulvophyceae	Ulvellaceae	1				
Acrochaete endozoica	urn:lsid:marinespecies.org:taxname:612013	30	Acrochaete endozoica	https://marinespecies.org/aphia.php?p=taxdetails&id=612013	unaccepted	Ulvella endozoica	Species	Plantae	Ulvophyceae	Ulvellaceae	1				
Acrochaete leptochaete	urn:lsid:marinespecies.org:taxname:145998	11	Acrochaete leptochaete	https://marinespecies.org/aphia.php?p=taxdetails&id=145998	unaccepted	Ulvella leptochaete	Species	Plantae	Ulvophyceae	Ulvellaceae	1				
Acrochaetiales XX sp.		4													
Acrochaetium luxurians	urn:lsid:marinespecies.org:taxname:547853	5	Acrochaetium luxurians	https://marinespecies.org/aphia.php?p=taxdetails&id=547853	accepted	Acrochaetium luxurians	Species	Plantae	Florideophyceae	Acrochaetiaceae	1				
Acromegalomma interruptum	urn:lsid:marinespecies.org:taxname:994101	2	Acromegalomma interruptum	https://marinespecies.org/aphia.php?p=taxdetails&id=994101	accepted	Acromegalomma interruptum	Species	Animalia	Polychaeta	Sabellidae	1	0	0	0	0
Acropora	urn:lsid:marinespecies.org:taxname:205469	1	Acropora	https://marinespecies.org/aphia.php?p=taxdetails&id=205469	accepted	Acropora	Genus	Animalia	Hexacorallia	Acroporidae	1		0	0	
Acropora kimbeensis	urn:lsid:marinespecies.org:taxname:288214	1	Acropora kimbeensis	https://marinespecies.org/aphia.php?p=taxdetails&id=288214	accepted	Acropora kimbeensis	Species	Animalia	Hexacorallia	Acroporidae	1		0	0	
Actaeodes hirsutissimus	urn:lsid:marinespecies.org:taxname:209051	1	Actaeodes hirsutissimus	https://marinespecies.org/aphia.php?p=taxdetails&id=209051	accepted	Actaeodes hirsutissimus	Species	Animalia	Malacostraca	Xanthidae	1	0	0	0	0
Actiniaria	urn:lsid:marinespecies.org:taxname:1360	27	Actiniaria	https://marinespecies.org/aphia.php?p=taxdetails&id=1360	accepted	Actiniaria	Order	Animalia	Hexacorallia		1	1		0	
Actinocephalidae	urn:lsid:marinespecies.org:taxname:562763	23	Actinocephalidae	https://marinespecies.org/aphia.php?p=taxdetails&id=562763	accepted	Actinocephalidae	Family	Chromista	Conoidasida	Actinocephalidae	1	0	1	1	
Actinocephalidae NEO1 sp.		12													
Actinocyclus	urn:lsid:marinespecies.org:taxname:196347	3	Actinocyclus	https://marinespecies.org/aphia.php?p=taxdetails&id=196347	accepted	Actinocyclus	Genus	Animalia	Gastropoda	Actinocyclidae	1				
Actinopteri	urn:lsid:marinespecies.org:taxname:843664	24	Actinopteri	https://marinespecies.org/aphia.php?p=taxdetails&id=843664	accepted	Actinopteri	Superclass	Animalia			1	1	1	0	0
Adelina bambarooniae		1													
Adineta	urn:lsid:marinespecies.org:taxname:886172	2	Adineta	https://marinespecies.org/aphia.php?p=taxdetails&id=886172	accepted	Adineta	Genus	Animalia	Eurotatoria	Adinetidae	1	0	1	1	0
Adineta vaga	urn:lsid:marinespecies.org:taxname:886583	2	Adineta vaga	https://marinespecies.org/aphia.php?p=taxdetails&id=886583	accepted	Adineta vaga	Species	Animalia	Eurotatoria	Adinetidae	1	0	1	1	
Adoncholaimus	urn:lsid:marinespecies.org:taxname:2565	1	Adoncholaimus	https://marinespecies.org/aphia.php?p=taxdetails&id=2565	accepted	Adoncholaimus	Genus	Animalia	Enoplea	Oncholaimidae	1	1	1		
Aedes aegypti	urn:lsid:marinespecies.org:taxname:1490815	1	Aedes aegypti	https://marinespecies.org/aphia.php?p=taxdetails&id=1490815	accepted	Aedes aegypti	Species	Animalia	Hexapoda	Culicidae				1	
Aedes genus		2													
Aegilops tauschii		45													
Aegina citrea	urn:lsid:marinespecies.org:taxname:117263	5	Aegina citrea	https://marinespecies.org/aphia.php?p=taxdetails&id=117263	accepted	Aegina citrea	Species	Animalia	Hydrozoa	Aeginidae	1	0	0	0	0
Aegyriana cf. oliva		3													
Aegyriana oliva	urn:lsid:marinespecies.org:taxname:427205	4	Aegyriana oliva	https://marinespecies.org/aphia.php?p=taxdetails&id=427205	unaccepted	Aegyria oliva	Species	Chromista	Phyllopharyngea	Hartmannulidae	1	0	0	0	
Aeolosoma sp.		7													
Aequorea australis	urn:lsid:marinespecies.org:taxname:283989	1	Aequorea australis	https://marinespecies.org/aphia.php?p=taxdetails&id=283989	accepted	Aequorea australis	Species	Animalia	Hydrozoa	Aequoreidae	1			0	
Aerococcus urinae		8													
Aetea anguina	urn:lsid:marinespecies.org:taxname:111062	67	Aetea anguina	https://marinespecies.org/aphia.php?p=taxdetails&id=111062	accepted	Aetea anguina	Species	Animalia	Gymnolaemata	Aeteidae	1	0	0	0	
Agaricales	urn:lsid:marinespecies.org:taxname:100021	12	Agaricales	https://marinespecies.org/aphia.php?p=taxdetails&id=100021	accepted	Agaricales	Order	Fungi	Agaricomycetes		1	1		1	
Agaricomycetes	urn:lsid:marinespecies.org:taxname:426217	530	Agaricomycetes	https://marinespecies.org/aphia.php?p=taxdetails&id=426217	accepted	Agaricomycetes	Class	Fungi	Agaricomycetes		1	1		1	
Agaricomycotina	urn:lsid:marinespecies.org:taxname:437290	1	Agaricomycotina	https://marinespecies.org/aphia.php?p=taxdetails&id=437290	accepted	Agaricomycotina	Subphylum (Subdivision)	Fungi			1	1	1	1	
Agaricostilbomycetes	urn:lsid:marinespecies.org:taxname:437247	36	Agaricostilbomycetes	https://marinespecies.org/aphia.php?p=taxdetails&id=437247	accepted	Agaricostilbomycetes	Class	Fungi	Agaricostilbomycetes		1			1	
Agaricostilbomycetes X sp.		3													
Agelas sp.		43													
Aglaura hemistoma	urn:lsid:marinespecies.org:taxname:117851	49	Aglaura hemistoma	https://marinespecies.org/aphia.php?p=taxdetails&id=117851	accepted	Aglaura hemistoma	Species	Animalia	Hydrozoa	Rhopalonematidae	1	0	0	0	0
Aidanosagitta neglecta	urn:lsid:marinespecies.org:taxname:266708	30	Aidanosagitta neglecta	https://marinespecies.org/aphia.php?p=taxdetails&id=266708	accepted	Aidanosagitta neglecta	Species	Animalia	Sagittoidea	Sagittidae	1	0	0	0	
Aigialus	urn:lsid:marinespecies.org:taxname:437460	6	Aigialus	https://marinespecies.org/aphia.php?p=taxdetails&id=437460	accepted	Aigialus	Genus	Fungi	Dothideomycetes	Aigialaceae	1				
Akashiwo sanguinea	urn:lsid:marinespecies.org:taxname:232546	21	Akashiwo sanguinea	https://marinespecies.org/aphia.php?p=taxdetails&id=232546	accepted	Akashiwo sanguinea	Species	Chromista	Dinophyceae	Gymnodiniaceae	1				
Alatina alata	urn:lsid:marinespecies.org:taxname:289378	1	Alatina alata	https://marinespecies.org/aphia.php?p=taxdetails&id=289378	accepted	Alatina alata	Species	Animalia	Cubozoa	Alatinidae	1			0	
Alatina mordens	urn:lsid:marinespecies.org:taxname:289381	2	Alatina mordens	https://marinespecies.org/aphia.php?p=taxdetails&id=289381	unaccepted	Alatina alata	Species	Animalia	Cubozoa	Alatinidae	1			0	
Albizia julibrissin		10													
Alcyonacea	urn:lsid:marinespecies.org:taxname:1365	66	Alcyonacea	https://marinespecies.org/aphia.php?p=taxdetails&id=1365	unaccepted	Octocorallia	Order	Animalia	Octocorallia		1	1	0	0	
Alectryonella plicatula	urn:lsid:marinespecies.org:taxname:506699	51	Alectryonella plicatula	https://marinespecies.org/aphia.php?p=taxdetails&id=506699	accepted	Alectryonella plicatula	Species	Animalia	Bivalvia	Ostreidae	1				
Alentia gelatinosa	urn:lsid:marinespecies.org:taxname:130722	3	Alentia gelatinosa	https://marinespecies.org/aphia.php?p=taxdetails&id=130722	accepted	Alentia gelatinosa	Species	Animalia	Polychaeta	Polynoidae	1	0	0	0	0
Alexandrium	urn:lsid:marinespecies.org:taxname:109470	42	Alexandrium	https://marinespecies.org/aphia.php?p=taxdetails&id=109470	accepted	Alexandrium	Genus	Chromista	Dinophyceae	Pyrocystaceae	1				
Alexandrium leei	urn:lsid:marinespecies.org:taxname:109710	48	Alexandrium leei	https://marinespecies.org/aphia.php?p=taxdetails&id=109710	accepted	Alexandrium leei	Species	Chromista	Dinophyceae	Pyrocystaceae	1				
Aliculastrum parallelum	urn:lsid:marinespecies.org:taxname:740295	1	Aliculastrum parallelum	https://marinespecies.org/aphia.php?p=taxdetails&id=740295	accepted	Aliculastrum parallelum	Species	Animalia	Gastropoda	Haminoeidae	1				
Allantion sp.		2													
Allapsa sp.		1													
Allapsidae	urn:lsid:marinespecies.org:taxname:872118	56	Allapsidae	https://marinespecies.org/aphia.php?p=taxdetails&id=872118	accepted	Allapsidae	Family	Chromista	Sarcomonadea	Allapsidae	1			1	
Allostoma	urn:lsid:marinespecies.org:taxname:142250	6	Allostoma	https://marinespecies.org/aphia.php?p=taxdetails&id=142250	accepted	Allostoma	Genus	Animalia		Pseudostomidae	1				0
Allostoma catinosum	urn:lsid:marinespecies.org:taxname:142864	1	Allostoma catinosum	https://marinespecies.org/aphia.php?p=taxdetails&id=142864	accepted	Allostoma catinosum	Species	Animalia		Pseudostomidae	1	0	0	0	0
Allostoma pallidum	urn:lsid:marinespecies.org:taxname:142868	26	Allostoma pallidum	https://marinespecies.org/aphia.php?p=taxdetails&id=142868	accepted	Allostoma pallidum	Species	Animalia		Pseudostomidae	1				
Allovahlkampfia sp.		32													
Alphamonadea ALPH1 sp.		40													
Alphamonas edax	urn:lsid:marinespecies.org:taxname:1376200	6	Alphamonas edax	https://marinespecies.org/aphia.php?p=taxdetails&id=1376200	uncertain		Species	Chromista	Colpodellophyceae	Alphamonadaceae					
Alpheus	urn:lsid:marinespecies.org:taxname:106978	4	Alpheus	https://marinespecies.org/aphia.php?p=taxdetails&id=106978	accepted	Alpheus	Genus	Animalia	Malacostraca	Alpheidae	1	1	1	0	0
Alpheus gracilipes	urn:lsid:marinespecies.org:taxname:210514	56	Alpheus gracilipes	https://marinespecies.org/aphia.php?p=taxdetails&id=210514	accepted	Alpheus gracilipes	Species	Animalia	Malacostraca	Alpheidae	1	0	1	0	0
Alpheus pachychirus	urn:lsid:marinespecies.org:taxname:210547	2	Alpheus pachychirus	https://marinespecies.org/aphia.php?p=taxdetails&id=210547	accepted	Alpheus pachychirus	Species	Animalia	Malacostraca	Alpheidae	1	0	0	0	0
Alpheus paralcyone	urn:lsid:marinespecies.org:taxname:514932	2	Alpheus paralcyone	https://marinespecies.org/aphia.php?p=taxdetails&id=514932	accepted	Alpheus paralcyone	Species	Animalia	Malacostraca	Alpheidae	1	0	0	0	0
Alpheus roseodigitalis	urn:lsid:marinespecies.org:taxname:514959	3	Alpheus roseodigitalis	https://marinespecies.org/aphia.php?p=taxdetails&id=514959	accepted	Alpheus roseodigitalis	Species	Animalia	Malacostraca	Alpheidae	1	0	0	0	0
Alternaria brassicicola		1													
Alternaria gaisen		73													
Alveolata-Apicomplexa		29													
Alveolata-Ciliophora		1237													
Alveolata-Dinoflagellata		780													
Alveolata-Perkinsea		14													
Amaranthus tuberculatus		1													
Amastigomonas sp.		1													
Amathia	urn:lsid:marinespecies.org:taxname:111022	38	Amathia	https://marinespecies.org/aphia.php?p=taxdetails&id=111022	accepted	Amathia	Genus	Animalia	Gymnolaemata	Vesiculariidae	1	1			
Amathia verticillata	urn:lsid:marinespecies.org:taxname:851581	7	Amathia verticillata	https://marinespecies.org/aphia.php?p=taxdetails&id=851581	accepted	Amathia verticillata	Species	Animalia	Gymnolaemata	Vesiculariidae	1	0	0	0	0
Ambassis sp. 4 BOLD:ACQ9515		6													
Amblyseius sp.		5													
Ameira scotti	urn:lsid:marinespecies.org:taxname:115525	16	Ameira scotti	https://marinespecies.org/aphia.php?p=taxdetails&id=115525	accepted	Ameira scotti	Species	Animalia	Copepoda	Ameiridae	1	0	0	0	
Ameson	urn:lsid:marinespecies.org:taxname:559083	55	Ameson	https://marinespecies.org/aphia.php?p=taxdetails&id=559083	accepted	Ameson	Genus	Fungi	Microsporea	Pereziidae	1				
Ameson metacarcini		16													
Amoebophrya ceratii	urn:lsid:marinespecies.org:taxname:109578	34	Amoebophrya ceratii	https://marinespecies.org/aphia.php?p=taxdetails&id=109578	accepted	Amoebophrya ceratii	Species	Chromista	Dinophyceae	Amoebophryaceae	1				
Amoebozoa	urn:lsid:marinespecies.org:taxname:391848	22	Amoebozoa	https://marinespecies.org/aphia.php?p=taxdetails&id=391848	accepted	Amoebozoa	Phylum	Protozoa			1	1	1	1	
Amonardia coreana	urn:lsid:marinespecies.org:taxname:362481	2	Amonardia coreana	https://marinespecies.org/aphia.php?p=taxdetails&id=362481	accepted	Amonardia coreana	Species	Animalia	Copepoda	Miraciidae	1	0	0	0	
Amorphochlora amoeboformis		17													
Amorphochlora sp.		17													
Amphiamblys sp.		6													
Amphiascoides atopus	urn:lsid:marinespecies.org:taxname:348699	1	Amphiascoides atopus	https://marinespecies.org/aphia.php?p=taxdetails&id=348699	accepted	Amphiascoides atopus	Species	Animalia	Copepoda	Miraciidae	1	0	0	0	
Amphibalanus amphitrite	urn:lsid:marinespecies.org:taxname:421137	132	Amphibalanus amphitrite	https://marinespecies.org/aphia.php?p=taxdetails&id=421137	accepted	Amphibalanus amphitrite	Species	Animalia	Thecostraca	Balanidae	1				
Amphibalanus reticulatus	urn:lsid:marinespecies.org:taxname:421140	1387	Amphibalanus reticulatus	https://marinespecies.org/aphia.php?p=taxdetails&id=421140	accepted	Amphibalanus reticulatus	Species	Animalia	Thecostraca	Balanidae	1		0	0	
Amphibalanus variegatus	urn:lsid:marinespecies.org:taxname:467513	118	Amphibalanus variegatus	https://marinespecies.org/aphia.php?p=taxdetails&id=467513	accepted	Amphibalanus variegatus	Species	Animalia	Thecostraca	Balanidae	1				
Amphibalanus zhujiangensis	urn:lsid:marinespecies.org:taxname:534950	2	Amphibalanus zhujiangensis	https://marinespecies.org/aphia.php?p=taxdetails&id=534950	accepted	Amphibalanus zhujiangensis	Species	Animalia	Thecostraca	Balanidae	1				
Amphibelone	urn:lsid:marinespecies.org:taxname:1701367	21	Amphibelone	https://marinespecies.org/aphia.php?p=taxdetails&id=1701367	accepted	Amphibelone	Genus	Chromista	Acantharia	Amphilithidae	1				
Amphicorina	urn:lsid:marinespecies.org:taxname:154923	45	Amphicorina	https://marinespecies.org/aphia.php?p=taxdetails&id=154923	accepted	Amphicorina	Genus	Animalia	Polychaeta	Sabellidae	1	0	0	0	0
Amphicorina ascidicola	urn:lsid:marinespecies.org:taxname:598903	14	Amphicorina ascidicola	https://marinespecies.org/aphia.php?p=taxdetails&id=598903	accepted	Amphicorina ascidicola	Species	Animalia	Polychaeta	Sabellidae	1				
Amphicorina mobilis	urn:lsid:marinespecies.org:taxname:759717	48	Amphicorina mobilis	https://marinespecies.org/aphia.php?p=taxdetails&id=759717	accepted	Amphicorina mobilis	Species	Animalia	Polychaeta	Sabellidae	1				0
Amphidiniopsidaceae		80													
Amphidinium	urn:lsid:marinespecies.org:taxname:109473	30	Amphidinium	https://marinespecies.org/aphia.php?p=taxdetails&id=109473	accepted	Amphidinium	Genus	Chromista	Dinophyceae	Amphidiniaceae	1	1	1		
Amphidinium klebsii	urn:lsid:marinespecies.org:taxname:109735	5	Amphidinium klebsii	https://marinespecies.org/aphia.php?p=taxdetails&id=109735	accepted	Amphidinium klebsii	Species	Chromista	Dinophyceae	Amphidiniaceae	1	1		0	
Amphidinium massartii	urn:lsid:marinespecies.org:taxname:109743	16	Amphidinium massartii	https://marinespecies.org/aphia.php?p=taxdetails&id=109743	accepted	Amphidinium massartii	Species	Chromista	Dinophyceae	Amphidiniaceae	1		1		
Amphidinium sp.		330													
Amphidinium steinii	urn:lsid:marinespecies.org:taxname:1367877	16	Amphidinium steinii	https://marinespecies.org/aphia.php?p=taxdetails&id=1367877	accepted	Amphidinium steinii	Species	Chromista	Dinophyceae	Amphidiniaceae	1				
Amphidoma languida	urn:lsid:marinespecies.org:taxname:729889	22	Amphidoma languida	https://marinespecies.org/aphia.php?p=taxdetails&id=729889	accepted	Amphidoma languida	Species	Chromista	Dinophyceae	Amphidomataceae	1				
Amphilepidida	urn:lsid:marinespecies.org:taxname:1062666	4	Amphilepidida	https://marinespecies.org/aphia.php?p=taxdetails&id=1062666	accepted	Amphilepidida	Order	Animalia	Ophiuroidea		1	1	0	0	
Amphimedon queenslandica	urn:lsid:marinespecies.org:taxname:234042	7	Amphimedon queenslandica	https://marinespecies.org/aphia.php?p=taxdetails&id=234042	accepted	Amphimedon queenslandica	Species	Animalia	Demospongiae	Niphatidae	1	0	0	0	
Amphinema dinema	urn:lsid:marinespecies.org:taxname:117778	17	Amphinema dinema	https://marinespecies.org/aphia.php?p=taxdetails&id=117778	accepted	Amphinema dinema	Species	Animalia	Hydrozoa	Pandeidae	1			0	
Amphipholis squamata	urn:lsid:marinespecies.org:taxname:125064	1	Amphipholis squamata	https://marinespecies.org/aphia.php?p=taxdetails&id=125064	accepted	Amphipholis squamata	Species	Animalia	Ophiuroidea	Amphiuridae	1	1	0	0	
Amphisiella annulata	urn:lsid:marinespecies.org:taxname:417269	6	Amphisiella annulata	https://marinespecies.org/aphia.php?p=taxdetails&id=417269	accepted	Amphisiella annulata	Species	Chromista	Spirotrichea	Amphisiellidae	1	0	0	0	
Amphisoleniaceae X sp.		29													
Amphorellopsis acuta	urn:lsid:marinespecies.org:taxname:417200	56	Amphorellopsis acuta	https://marinespecies.org/aphia.php?p=taxdetails&id=417200	accepted	Amphorellopsis acuta	Species	Chromista	Oligotrichea	Tintinnidae	1	0	0	0	
Amphorides quadrilineata	urn:lsid:marinespecies.org:taxname:235769	2	Amphorides quadrilineata	https://marinespecies.org/aphia.php?p=taxdetails&id=235769	accepted	Amphorides quadrilineata	Species	Chromista	Oligotrichea	Tintinnidae	1	0	0	0	
Ampithoe	urn:lsid:marinespecies.org:taxname:101459	5	Ampithoe	https://marinespecies.org/aphia.php?p=taxdetails&id=101459	accepted	Ampithoe	Genus	Animalia	Malacostraca	Ampithoidae	1	0	0	0	0
Amylax	urn:lsid:marinespecies.org:taxname:109518	15	Amylax	https://marinespecies.org/aphia.php?p=taxdetails&id=109518	accepted	Amylax	Genus	Chromista	Dinophyceae	Gonyaulacaceae	1				
Amylax buxus	urn:lsid:marinespecies.org:taxname:233480	68	Amylax buxus	https://marinespecies.org/aphia.php?p=taxdetails&id=233480	unaccepted	Amylax triacantha var. buxus	Species	Chromista	Dinophyceae	Gonyaulacaceae	1				
Amylomyces rouxii		27													
Amynthas gracilis	urn:lsid:marinespecies.org:taxname:1507826	1	Amynthas gracilis	https://marinespecies.org/aphia.php?p=taxdetails&id=1507826	accepted	Amynthas gracilis	Species	Animalia	Clitellata	Megascolecidae	0	0	0	1	0
Amynthas sp.		1													
Anadara antiquata	urn:lsid:marinespecies.org:taxname:207754	2	Anadara antiquata	https://marinespecies.org/aphia.php?p=taxdetails&id=207754	accepted	Anadara antiquata	Species	Animalia	Bivalvia	Arcidae	1				
Anarithma metula	urn:lsid:marinespecies.org:taxname:594417	1	Anarithma metula	https://marinespecies.org/aphia.php?p=taxdetails&id=594417	accepted	Anarithma metula	Species	Animalia	Gastropoda	Mitromorphidae	1	0	0	0	
Ancora sagittata	urn:lsid:marinespecies.org:taxname:563031	31	Ancora sagittata	https://marinespecies.org/aphia.php?p=taxdetails&id=563031	accepted	Ancora sagittata	Species	Chromista	Conoidasida	Lecudinidae	1	0	0	0	
Ancyromonadida Group-1 X		19													
Andvakia discipulorum	urn:lsid:marinespecies.org:taxname:446803	2	Andvakia discipulorum	https://marinespecies.org/aphia.php?p=taxdetails&id=446803	accepted	Andvakia discipulorum	Species	Animalia	Hexacorallia	Andvakiidae	1			0	
Anguilla	urn:lsid:marinespecies.org:taxname:125620	1	Anguilla	https://marinespecies.org/aphia.php?p=taxdetails&id=125620	accepted	Anguilla	Genus	Animalia	Teleostei	Anguillidae	1	1	1	0	
Anguinella palmata	urn:lsid:marinespecies.org:taxname:111631	2	Anguinella palmata	https://marinespecies.org/aphia.php?p=taxdetails&id=111631	accepted	Anguinella palmata	Species	Animalia	Gymnolaemata	Nolellidae	1	0	0	0	
Anncaliia algerae		5													
Annelida	urn:lsid:marinespecies.org:taxname:882	50	Annelida	https://marinespecies.org/aphia.php?p=taxdetails&id=882	accepted	Annelida	Phylum	Animalia			1	1	1	1	
Annelida X		25													
Annelida XX		3719													
